state	min	max	mean	rates	root	lnL	lnL.p	lnL.h
13300	0.015	35.708	0.933	7	NA	-94.18	0	-0.69
13400	0.002	48.644	0.904	8	NA	-98.34	0	-0.69
13400	0.015	35.708	0.801	7	NA	-96.31	0	0
13500	0.002	48.644	0.968	8	NA	-99.53	0	-0.26
13500	0.015	35.708	0.854	7	NA	-95.61	0	-0.21
13600	0.002	48.644	0.943	7	NA	-98.52	0	0
13600	0.015	35.708	1.312	7	NA	-99.06	0	-0.69
13700	0.045	48.644	0.924	6	NA	-100.56	0	-0.79
13700	0.015	35.708	0.776	7	NA	-94.67	0	-0.69
13800	0.096	48.644	1.259	5	NA	-105.85	-1.98	-3.27
13800	0.083	35.708	0.854	5	NA	-100.82	0	-0.22
13900	0.086	48.644	0.943	6	NA	-102.46	0	-0.87
13900	0.083	35.708	0.854	5	NA	-100.82	0	-0.69
14000	0.086	48.644	0.943	6	NA	-102.46	-2.16	-3.08
14000	0.083	35.708	0.776	5	NA	-100.49	0	-2.3
14100	0.086	48.644	0.943	6	NA	-102.5	0	-1.96
14100	0.078	35.708	0.772	5	NA	-100.28	-1.98	-3.27
14200	0.106	48.644	0.958	6	NA	-104.31	-2.16	-3.08
14200	0.078	35.708	0.928	5	NA	-99.37	0	-0.69
14300	0.106	48.644	0.958	6	NA	-104.31	0	-0.69
14300	0.078	35.708	0.928	5	NA	-99.57	1.75	3.5
14400	0.106	48.644	0.939	6	NA	-105.16	0	-2.63
14400	0.078	35.708	0.928	5	NA	-99.57	-1.98	-3.27
14500	0.116	48.644	0.921	5	NA	-108.29	-1.98	-3.27
14500	0.118	35.708	0.772	4	NA	-105.62	0	-2.22
14600	0.045	48.644	0.904	6	NA	-103.9	-2.16	-3.08
14600	0.118	35.708	0.772	4	NA	-105.62	0	-1.27
14700	0.045	48.644	0.928	6	NA	-107.44	0	0.69
14700	0.075	35.708	1.004	4	NA	-105.85	0	-0.69
14800	0.045	48.644	0.925	6	NA	-106.1	-2.16	-3.08
14800	0.075	35.708	0.73	4	NA	-104.27	0	0
14900	0.045	48.644	0.904	6	NA	-103.85	-2.16	-3.08
14900	0.075	35.708	0.73	4	NA	-104.27	0	0.69
15000	0.045	48.644	0.904	5	NA	-103.24	1.98	3.27
15000	0.075	35.708	0.73	4	NA	-104.27	-1.75	-3.5
15100	0.045	48.644	0.878	5	NA	-103.14	0	0
15100	0.075	35.708	0.73	4	NA	-105.91	0	-1.14
15200	0.045	48.644	0.883	5	NA	-105	0	-0.58
15200	0.048	35.708	1.004	5	NA	-102.41	0	-0.82
15300	0.045	48.644	0.905	5	NA	-103.29	0	-0.69
15300	0.08	35.708	0.739	5	NA	-100.23	0	-0.69
15400	0.034	48.644	0.901	5	NA	-103.41	0	-0.2
15400	0.083	35.708	0.738	4	NA	-104.03	1.75	3.5
15500	0.034	48.644	0.901	5	NA	-103.41	0	-1.03
15500	0.083	35.708	1.012	4	NA	-105.66	-1.75	-3.5
15600	0.034	48.644	0.901	5	NA	-103.41	0	-0.69
15600	0.107	35.708	0.761	4	NA	-105.96	0	-2.59
15700	0.034	48.644	0.901	5	NA	-103.41	-1.98	-3.27
15700	0.107	35.708	0.761	4	NA	-105.96	-1.75	-3.5
15800	0.034	48.644	0.911	5	NA	-106.76	0	0
15800	0.107	35.708	0.761	4	NA	-105.96	0	-0.69
15900	0.034	48.644	1.25	5	NA	-107.32	0	0
15900	0.075	35.708	0.81	5	NA	-100.02	0	-0.03
16000	0.034	48.644	0.909	5	NA	-106.88	0	-0.69
16000	0.07	35.708	0.805	5	NA	-99.82	0	0.69
16100	0.034	48.644	0.919	6	NA	-105.01	-2.16	-3.08
16100	0.07	35.708	1.354	5	NA	-102.1	-1.98	-3.27
16200	0.034	48.644	0.91	6	NA	-103.62	0	-0.05
16200	0.07	35.708	1.354	5	NA	-102.1	-1.98	-3.27
16300	0.034	48.644	0.887	5	NA	-103.67	0	0
16300	0.092	35.708	0.826	5	NA	-101.33	0	-0.69
16400	0.034	48.644	0.883	6	NA	-104.46	0	-0.69
16400	0.092	35.708	0.794	5	NA	-102.38	0	-0.69
16500	0.034	48.644	0.904	5	NA	-103.33	0	-1.66
16500	0.108	35.708	0.762	4	NA	-106.04	0	-0.57
16600	0.034	48.644	0.904	6	NA	-104.15	0	0.69
16600	0.108	35.708	0.762	4	NA	-106.04	0	0
16700	0.005	48.644	0.907	7	NA	-98.86	0	-0.69
16700	0.093	35.708	0.822	5	NA	-100.05	-1.98	-3.27
16800	0.005	48.644	0.907	6	NA	-102.67	-2.16	-3.08
16800	0.093	35.708	0.822	5	NA	-100.05	0	-0.69
16900	0.005	48.644	0.907	7	NA	-99.09	0	-2.96
16900	0.138	35.708	0.792	4	NA	-107.35	0	0
17000	0.088	48.644	0.913	6	NA	-101.8	-2.16	-3.08
17000	0.066	35.708	0.805	5	NA	-101.88	0	-1.04
17100	0.088	48.644	0.897	6	NA	-104.68	0	-0.63
17100	0.066	35.708	0.792	5	NA	-100.75	0	-0.69
17200	0.088	48.644	1.242	6	NA	-104.13	-2.16	-3.08
17200	0.066	35.708	0.805	5	NA	-101.45	0	0
17300	0.077	48.644	0.905	6	NA	-101.17	0	-0.69
17300	0.066	35.708	1.115	5	NA	-102.55	0	-2.25
17400	0.077	48.644	0.893	6	NA	-102.81	0	-1.36
17400	0.066	35.708	0.801	5	NA	-100.46	-1.98	-3.27
17500	0.07	48.644	0.898	6	NA	-100.62	1.98	3.27
17500	0.066	35.708	1.31	5	NA	-103.02	0	0.69
17600	0.07	48.644	0.874	6	NA	-103.42	0	-0.15
17600	0.066	35.708	1.109	5	NA	-101.78	-1.98	-3.27
17700	0.071	48.644	0.898	5	NA	-100.36	0	0.69
17700	0.066	35.708	0.779	5	NA	-100.37	0	-0.69
17800	0.071	48.644	0.898	5	NA	-100.36	0	-0.32
17800	0.066	35.708	1.103	5	NA	-102.19	-1.98	-3.27
17900	0.071	48.644	0.89	5	NA	-100.37	0	-0.69
17900	0.066	35.708	1.281	5	NA	-104.56	0	-1.51
18000	0.071	48.644	0.872	5	NA	-103.24	0	-0.31
18000	0.066	35.708	0.761	5	NA	-100.78	0	-1.39
18100	0.084	48.644	0.881	4	NA	-106.47	0	-0.69
18100	0.066	35.708	0.759	5	NA	-101.21	-1.98	-3.27
18200	0.084	48.644	0.881	4	NA	-106.47	-1.75	-3.5
18200	0.066	35.708	1.084	5	NA	-102.99	0	0.69
18300	0.093	48.644	0.89	4	NA	-106.38	0	-0.69
18300	0.066	35.708	0.761	5	NA	-100.78	0	-1.16
18400	0.025	48.644	0.886	5	NA	-105.7	0	0
18400	0.046	35.708	0.789	7	NA	-100.95	0	-0.69
18500	0.025	48.644	0.89	5	NA	-101.31	0	-0.85
18500	0.046	35.708	1.835	7	NA	-106.45	0	-2.03
18600	0.025	48.644	0.89	5	NA	-101.31	0	0.69
18600	0.059	35.708	0.799	7	NA	-102.85	-2.31	-2.92
18700	0.025	48.644	0.89	5	NA	-101.4	0	-0.2
18700	0.112	35.708	0.836	6	NA	-105.06	-2.16	-3.08
18800	0.025	48.644	0.919	6	NA	-101.67	0	-3
18800	0.051	35.708	0.836	7	NA	-100.78	0	-0.1
18900	0.025	48.644	0.928	6	NA	-100.67	0	0
18900	0.051	35.708	1.33	6	NA	-98.27	-2.16	-3.08
19000	0.102	48.644	0.928	5	NA	-105.54	-1.98	-3.27
19000	0.051	35.708	1.122	6	NA	-97.66	0	-0.79
19100	0.046	48.644	0.928	6	NA	-99.78	0	-0.19
19100	0.051	35.708	0.804	6	NA	-95.84	0	-0.44
19200	0.093	48.644	0.928	5	NA	-105.64	0	-0.37
19200	0.051	35.708	1.122	6	NA	-97.66	-2.16	-3.08
19300	0.093	48.644	0.928	5	NA	-105.64	0	0
19300	0.051	35.708	1.122	6	NA	-97.66	0	0.69
19400	0.093	48.644	0.928	5	NA	-105.64	0	-0.25
19400	0.051	35.708	0.804	6	NA	-95.84	0	-1.82
19500	0.093	48.644	0.928	5	NA	-105.64	0	-0.08
19500	0.051	35.708	1.33	6	NA	-98.99	0	-0.1
19600	0.093	48.644	0.93	5	NA	-105.65	0	-0.69
19600	0.051	35.708	0.804	6	NA	-95.84	-2.16	-3.08
19700	0.093	48.644	0.93	5	NA	-105.65	0	0
19700	0.056	35.708	0.807	6	NA	-96.51	0	0.69
19800	0.055	48.644	0.93	6	NA	-98.63	-2.16	-3.08
19800	0.02	35.708	0.802	7	NA	-94.68	0	-0.14
19900	0.055	48.644	0.93	6	NA	-98.63	0	-0.69
19900	0.02	35.708	0.8	7	NA	-91.84	0	-0.69
20000	0.095	48.644	0.915	5	NA	-103.24	0	-0.69
20000	0.02	35.708	1.315	7	NA	-95.94	-2.31	-2.92
20100	0.095	48.644	0.93	5	NA	-102.15	-1.98	-3.27
20100	0.02	35.708	0.817	7	NA	-94	-2.31	-2.92
20200	0.117	48.644	0.915	4	NA	-107.48	0	-0.69
20200	0.02	35.708	0.81	7	NA	-93.7	0	-0.69
20300	0.117	48.644	0.915	4	NA	-107.48	0	-2.11
20300	0.02	35.708	0.814	7	NA	-93.87	0	0
20400	0.117	48.644	0.915	4	NA	-107.39	0	-0.33
20400	0.02	35.708	0.806	7	NA	-93.44	0	0
20500	0.117	48.644	0.915	4	NA	-107.39	0	-0.69
20500	0.02	35.708	0.806	7	NA	-93.44	0	-1.14
20600	0.095	48.644	0.93	5	NA	-102	0	-1.28
20600	0.02	35.708	0.806	7	NA	-93.44	0	-0.69
20700	0.095	48.644	0.93	5	NA	-102	0	-2.96
20700	0.02	35.708	1.333	7	NA	-96.15	0	-0.08
20800	0.095	48.644	0.93	5	NA	-102	0	0.69
20800	0.02	35.708	1.124	6	NA	-95.08	0	-0.69
20900	0.095	48.644	0.93	5	NA	-102	0	-0.03
20900	0.02	35.708	0.806	6	NA	-93.27	0	-0.69
21000	0.095	48.644	1.258	5	NA	-104.57	0	-0.69
21000	0.02	35.708	0.806	6	NA	-93.27	0	-0.69
21100	0.095	48.644	0.93	5	NA	-102	-1.98	-3.27
21100	0.02	35.708	0.806	6	NA	-93.27	0	-0.69
21200	0.095	48.644	0.93	5	NA	-102	0	0
21200	0.02	35.708	0.806	6	NA	-93.27	0	-0.55
21300	0.084	48.644	0.92	5	NA	-101.07	0	-0.69
21300	0.02	35.708	1.627	6	NA	-97.62	-2.16	-3.08
21400	0.084	48.644	0.92	5	NA	-101.07	0	-0.79
21400	0.02	35.708	0.798	6	NA	-93.12	0	-1.09
21500	0.084	48.644	0.92	5	NA	-101.07	-1.98	-3.27
