state	min	max	mean	rates	root	lnL	lnL.p	lnL.h
30500	0.066	48.499	0.913	5	NA	-100.50	0.00	-2.19
30600	0.066	48.499	0.913	5	NA	-100.50	0.00	-0.69
30700	0.066	48.499	0.913	5	NA	-100.50	0.00	0.00
30800	0.112	48.499	0.914	4	NA	-107.11	0.00	-0.69
30900	0.077	48.499	0.905	5	NA	-106.44	0.00	-0.69
31000	0.102	48.499	0.905	4	NA	-106.63	-1.75	-3.50
31100	0.003	48.499	0.905	5	NA	-102.10	0.00	0.00
31200	0.003	48.499	0.905	5	NA	-102.10	0.00	-0.26
31300	0.003	48.499	1.231	5	NA	-104.60	0.00	0.00
31400	0.003	48.499	0.903	5	NA	-102.10	0.00	-0.69
31500	0.003	48.499	0.903	5	NA	-102.10	-1.98	-3.27
31600	0.003	48.499	0.903	5	NA	-102.10	0.00	-0.03
31700	0.003	48.499	0.903	5	NA	-102.10	0.00	-0.69
31800	0.003	48.499	0.905	5	NA	-103.39	0.00	-0.20
31900	0.003	48.499	0.905	5	NA	-103.39	0.00	-0.68
32000	0.003	48.499	0.899	5	NA	-102.01	0.00	-0.69
32100	0.003	48.499	0.899	5	NA	-102.01	0.00	-0.63
32200	0.003	48.499	0.899	5	NA	-102.01	0.00	-0.01
32300	0.003	48.499	0.899	5	NA	-102.01	0.00	-0.81
32400	0.003	48.499	0.901	5	NA	-103.28	0.00	0.00
32500	0.003	48.499	0.906	5	NA	-102.17	0.00	-1.15
32600	0.003	48.499	0.906	5	NA	-102.17	0.00	-2.48
32700	0.105	48.499	0.906	4	NA	-106.73	0.00	-0.19
32800	0.105	48.499	0.906	4	NA	-106.73	0.00	-0.07
32900	0.099	48.499	0.900	4	NA	-106.51	-1.75	-3.50
33000	0.099	48.499	0.900	4	NA	-106.51	-1.75	-3.50
33100	0.099	48.499	1.229	4	NA	-109.07	0.00	-1.21
33200	0.099	48.499	0.900	4	NA	-106.51	0.00	-1.61
33300	0.096	48.499	0.897	4	NA	-106.45	0.00	-0.69
33400	0.096	48.499	0.897	4	NA	-106.45	0.00	-0.82
33500	0.073	48.499	0.897	5	NA	-100.45	0.00	-0.69
33600	0.073	48.499	0.897	5	NA	-100.45	0.00	-1.79
33700	0.087	48.499	0.888	4	NA	-106.40	0.00	-0.94
33800	0.108	48.499	0.916	5	NA	-104.18	0.00	0.00
33900	0.084	48.499	0.885	4	NA	-106.45	0.00	-0.61
34000	0.095	48.499	0.895	4	NA	-106.43	0.00	-0.09
34100	0.093	48.499	0.893	4	NA	-106.40	0.00	-1.22
34200	0.093	48.499	0.893	4	NA	-106.40	0.00	-1.49
34300	0.093	48.499	0.893	4	NA	-106.40	0.00	-0.54
34400	0.093	48.499	0.893	4	NA	-106.40	0.00	-0.81
34500	0.093	48.499	0.893	4	NA	-106.40	0.00	-0.69
34600	0.109	48.499	0.909	4	NA	-106.92	0.00	-0.69
34700	0.109	48.499	0.909	4	NA	-106.92	0.00	-0.69
34800	0.109	48.499	0.909	4	NA	-106.92	-1.75	-3.50
34900	0.075	48.499	0.896	5	NA	-102.24	-1.98	-3.27
35000	0.082	48.499	0.882	4	NA	-106.56	0.00	0.00
35100	0.082	48.499	0.882	4	NA	-106.56	0.00	0.00
35200	0.073	48.499	1.147	5	NA	-102.40	-1.98	-3.27
35300	0.073	48.499	1.147	5	NA	-102.40	0.00	0.00
35400	0.073	48.499	1.147	5	NA	-102.40	-1.98	-3.27
35500	0.073	48.499	0.928	5	NA	-103.29	0.00	-0.69
35600	0.073	48.499	0.928	5	NA	-103.29	0.00	-2.69
35700	0.073	48.499	1.147	5	NA	-102.40	0.00	-0.69
35800	0.060	48.499	1.147	6	NA	-100.63	0.00	-0.16
