"","gene_fam","fisherPvalues_Capybara","fisherPvalues_Capybara_Bonferroni"
"414","PTHR11177:SF233",1,1
"415","PTHR11040:SF109",0.116204053415242,1
"416","PTHR15736:SF10",0.727733593409787,1
"417","PTHR22776:SF70",0.511231209360091,1
"418","PTHR31043",0.328136774268949,1
"419","PTHR14614:SF65",1,1
"420","PTHR21538:SF25",0.327584333776033,1
"421","PTHR22904:SF475",1,1
"422","PTHR43824:SF5",1,1
"423","PTHR17103:SF17",0.491400715750939,1
"424","PTHR11477:SF22",1,1
"425","PTHR18966:SF286",0.275700906066959,1
"426","PTHR26451:SF636",0.749087753321992,1
"427","PTHR10489:SF864",1,1
"428","PTHR11477:SF32",0.412620261421793,1
"429","PTHR14021:SF16",1,1
"430","PTHR11219:SF56",1,1
"431","PTHR11849:SF225",1,1
"432","PTHR24006:SF602",0.331654751047177,1
"433","PTHR10555:SF173",1,1
"434","PTHR11213:SF11",0.53028853548174,1
"435","PTHR22792:SF77",1,1
"436","PTHR12198:SF10",0.724028649237062,1
"437","PTHR10625:SF152",0.0106491937206568,1
"438","PTHR22799:SF9",0.470765688157878,1
"439","PTHR22846:SF47",0.40994995043347,1
"440","PTHR24156:SF5",1,1
"441","PTHR26451:SF505",0.403700338029936,1
"442","PTHR24099:SF10",0.583117115443178,1
"443","PTHR10814:SF33",0.593809600674445,1
"444","PTHR22826:SF179",0.52105559040076,1
"445","PTHR19432:SF53",0.659842220845539,1
"446","PTHR19212:SF7",0.00133807680235837,1
"447","PTHR15493:SF10",0.53028853548174,1
"448","PTHR12231:SF166",0.614992500428838,1
"449","PTHR24107:SF3",0.566203084715547,1
"450","PTHR11309:SF120",0.44929348763883,1
"451","PTHR24342:SF14",1,1
"452","PTHR11118:SF4",0.511231209360091,1
"453","PTHR14375:SF3",1,1
"454","PTHR23203:SF20",1,1
"455","PTHR11260:SF461",0.00437157716691797,1
"456","PTHR26453:SF312",1,1
"457","PTHR23257:SF556",1,1
"458","PTHR15597:SF38",0.000213767096199579,1
"459","PTHR23275:SF69",0.566203084715547,1
"460","PTHR22760:SF7",1,1
"461","PTHR12305:SF70",0.0962383116287268,1
"462","PTHR10032:SF261",1,1
"463","PTHR19944:SF76",0.0215580906839948,1
"464","PTHR18945:SF670",0.53028853548174,1
"465","PTHR22802:SF301",0.0801719575318926,1
"466","PTHR19325:SF399",1,1
